iter	Passed	Remaining
250	1323	3948
251	1324	3932
252	1326	3917
253	1329	3903
254	1330	3887
255	1331	3870
256	1333	3854
257	1334	3838
258	1335	3822
259	1337	3805
260	1338	3789
261	1340	3775
262	1343	3764
263	1344	3748
264	1345	3733
265	1347	3717
266	1348	3701
267	1349	3686
268	1351	3671
269	1352	3657
270	1354	3643
271	1358	3634
272	1359	3621
273	1361	3606
274	1362	3593
275	1364	3580
276	1366	3567
277	1369	3556
278	1374	3551
279	1375	3537
280	1377	3524
281	1379	3511
282	1380	3497
283	1381	3484
284	1383	3471
285	1388	3465
286	1390	3454
287	1391	3440
288	1392	3426
289	1393	3412
290	1395	3399
291	1396	3386
292	1398	3374
293	1401	3364
294	1402	3351
295	1403	3338
296	1405	3325
297	1406	3313
298	1407	3300
299	1409	3288
300	1410	3276
301	1412	3264
302	1415	3255
303	1416	3242
304	1417	3230
305	1418	3217
306	1420	3205
307	1421	3194
308	1422	3182
309	1425	3172
310	1429	3166
311	1430	3154
312	1431	3142
313	1433	3131
314	1434	3119
315	1435	3107
316	1436	3095
317	1438	3084
318	1441	3076
319	1444	3069
320	1446	3059
321	1447	3048
322	1449	3037
323	1450	3026
324	1451	3015
325	1453	3005
326	1455	2995
327	1458	2988
328	1459	2977
329	1461	2966
330	1462	2955
331	1463	2945
332	1465	2934
333	1466	2924
334	1467	2914
335	1469	2904
336	1473	2898
337	1474	2887
338	1475	2877
339	1476	2866
340	1478	2856
341	1481	2849
342	1482	2839
343	1484	2831
344	1486	2822
345	1490	2818
346	1493	2810
347	1496	2804
348	1502	2802
349	1504	2793
350	1506	2785
351	1510	2781
352	1512	2771
353	1513	2762
354	1515	2753
355	1517	2744
356	1518	2735
357	1520	2727
358	1524	2721
359	1525	2711
360	1526	2702
361	1528	2693
362	1529	2684
363	1530	2674
364	1532	2666
365	1538	2665
366	1540	2657
367	1542	2648
368	1544	2640
369	1545	2631
370	1547	2623
371	1552	2620
372	1554	2612
373	1555	2603
374	1557	2595
375	1558	2587
376	1560	2579
377	1564	2574
378	1568	2570
379	1570	2562
380	1571	2553
381	1573	2545
382	1574	2536
383	1576	2528
384	1579	2522
385	1581	2514
386	1582	2506
387	1584	2498
388	1586	2491
389	1587	2483
390	1589	2474
391	1590	2467
392	1596	2465
393	1597	2457
394	1599	2449
395	1600	2441
396	1601	2433
397	1604	2426
398	1606	2420
399	1610	2415
400	1612	2408
401	1618	2407
402	1620	2400
403	1625	2398
404	1627	2390
405	1628	2382
